Name,R8.5 Cname,R9 Cname,Guid Value,Package
StandardErrorDevice,gEfiStandardErrorDeviceGuid,gEfiStandardErrorDeviceGuid,D3B36F2D-D551-11D4-9A46-0090273FC14D,EdkModulePkg
HotPlugDevice,gEfiHotPlugDeviceGuid,gEfiHotPlugDeviceGuid,220AC432-1D43-49E5-A74F-4C9DA67AD23B,EdkModulePkg
PrimaryStandardErrorDevice,gEfiPrimaryStandardErrorDeviceGuid,gEfiPrimaryStandardErrorDeviceGuid,5A68191B-9B97-4752-9946-E36A5DA942B1,EdkModulePkg
PrimaryConsoleInDevice,gEfiPrimaryConsoleInDeviceGuid,gEfiPrimaryConsoleInDeviceGuid,E451DCBE-96A1-4729-A5CF-6B9C2CFF47FD,EdkModulePkg
PrimaryConsoleOutDevice,gEfiPrimaryConsoleOutDeviceGuid,gEfiPrimaryConsoleOutDeviceGuid,62BDF38A-E3D5-492C-950C-23A7F66E672E,EdkModulePkg
Bmp,gEfiDefaultBmpLogoGuid,gEfiDefaultBmpLogoGuid,7BB28B99-61BB-11D5-9A5D-0090273FC14D,EdkModulePkg
BootState,gEfiBootStateGuid,gEfiBootStateGuid,60B5E939-0FCF-4227-BA83-6BBED45BC0E3,EdkModulePkg
ShellFile,gEfiShellFileGuid,gEfiShellFileGuid,C57AD6B7-0515-40A8-9D21-551652854E37,EdkModulePkg
MiniShellFile,gEfiMiniShellFileGuid,gEfiMiniShellFileGuid,86AD232B-D33A-465C-BF5F-41370BA92FE2,EdkModulePkg
StatusCode,gEfiStatusCodeGuid,gEfiStatusCodeGuid,D083E94C-6560-42E4-B6D4-2DF75ADF6A2A,EdkModulePkg
PciOptionRomTable,gEfiPciOptionRomTableGuid,gEfiPciOptionRomTableGuid,7462660F-1CBD-48DA-AD11-91717913831C,EdkModulePkg
PciHotplugDevice,gEfiPciHotplugDeviceGuid,gEfiPciHotplugDeviceGuid,0B280816-52E7-4E51-AA57-11BD41CBEFC3,EdkModulePkg
MemoryTypeInformation,gEfiMemoryTypeInformationGuid,gEfiMemoryTypeInformationGuid,4C19049F-4137-4DD3-9C10-8B97A83FFDFA,EdkModulePkg
CapsuleVendor,gEfiCapsuleVendorGuid,gEfiCapsuleVendorGuid,711C703F-C285-4B10-A3B0-36ECBD3C8BE2,EdkModulePkg
CompatibleMemoryTested,gEfiCompatibleMemoryTestedGuid,gEfiCompatibleMemoryTestedGuid,64C475EF-344B-492C-93AD-AB9EB4395004,EdkModulePkg
PeiPerformanceHob,gPeiPerformanceHobGuid,gPeiPerformanceHobGuid,EC4DF5AF-4395-4CC9-94DE-77506D12C7B8,EdkModulePkg
MemoryStatusCodeRecord,gMemoryStatusCodeRecordGuid,gMemoryStatusCodeRecordGuid,060CC026-4C0D-4DDA-8F41-595FEF00A502,EdkModulePkg
