Name,R8.5 Cname,R9 Cname,Guid Value,Package
Reset,gEfiResetArchProtocolGuid,gEfiResetArchProtocolGuid,27CFAC88-46CC-11D4-9A38-0090273FC14D,MdePkg
Runtime,gEfiRuntimeArchProtocolGuid,gEfiRuntimeArchProtocolGuid,96D08253-8483-11D4-BCF1-0080C73C8881,MdePkg
Security,gEfiSecurityArchProtocolGuid,gEfiSecurityArchProtocolGuid,A46423E3-4617-49F1-B9FF-D1BFA9115839,MdePkg
StatusCode,gEfiStatusCodeArchProtocolGuid,gEfiStatusCodeRuntimeProtocolGuid,D2B2B828-0826-48A7-B3DF-983C006024F0,MdePkg
Timer,gEfiTimerArchProtocolGuid,gEfiTimerArchProtocolGuid,26BACCB3-6F42-11D4-BCE7-0080C73C8881,MdePkg
Variable,gEfiVariableArchProtocolGuid,gEfiVariableArchProtocolGuid,1E5668E2-8481-11D4-BCF1-0080C73C8881,MdePkg
VariableWrite,gEfiVariableWriteArchProtocolGuid,gEfiVariableWriteArchProtocolGuid,6441F818-6362-4E44-B570-7DBA31DD2453,MdePkg
WatchdogTimer,gEfiWatchdogTimerArchProtocolGuid,gEfiWatchdogTimerArchProtocolGuid,665E3FF5-46CC-11D4-9A38-0090273FC14D,MdePkg
CpuIo,gEfiCpuIoProtocolGuid,gEfiCpuIoProtocolGuid,B0732526-38C8-4B40-8877-61C7B06AAC45,MdePkg
DataHub,gEfiDataHubProtocolGuid,gEfiDataHubProtocolGuid,AE80D021-618E-11D4-BCD7-0080C73C8881,MdePkg
FirmwareVolume,gEfiFirmwareVolumeProtocolGuid,gEfiFirmwareVolumeProtocolGuid,389F751F-1838-4388-8390-CD8154BD27F8,MdePkg
FirmwareVolumeBlock,gEfiFirmwareVolumeBlockProtocolGuid,gEfiFirmwareVolumeBlockProtocolGuid,DE28BC59-6228-41BD-BDF6-A3B9ADB58DA1,MdePkg
FirmwareVolumeDispatch,gEfiFirmwareVolumeDispatchProtocolGuid,gEfiFirmwareVolumeDispatchProtocolGuid,7AA35A69-506C-444F-A7AF-694BF56F71C8,MdePkg
FormBrowser,gEfiFormBrowserProtocolGuid,gEfiFormBrowserProtocolGuid,E5A1333E-E1B4-4D55-CEEB-35C3EF133443,MdePkg
FormCallback,gEfiFormCallbackProtocolGuid,gEfiFormCallbackProtocolGuid,F3E4543D-CF35-6CEF-35C4-4FE6344DFC54,MdePkg
Crc32GuidedSectionExtraction,gEfiCrc32GuidedSectionExtractionProtocolGuid,gEfiCrc32GuidedSectionExtractionProtocolGuid,FC1BCDB0-7D31-49AA-936A-A4600D9DD083,MdePkg
Hii,gEfiHiiProtocolGuid,gEfiHiiProtocolGuid,EA816D2C-CEE5-4F02-99B5-D3905CBBD077,MdePkg
PcdProtocol,gPcdProtocolGuid,gPcdProtocolGuid,11B34006-D85B-4D0A-A290-D5A571310EF7,MdePkg
SectionExtraction,gEfiSectionExtractionProtocolGuid,gEfiSectionExtractionProtocolGuid,448F5DA4-6DD7-4FE1-9307-69224192215D,MdePkg
Bis,gEfiBisProtocolGuid,gEfiBisProtocolGuid,0B64AAB0-5429-11D4-9816-00A0C91FADCF,MdePkg
BlockIo,gEfiBlockIoProtocolGuid,gEfiBlockIoProtocolGuid,964E5B21-6459-11D2-8E39-00A0C969723B,MdePkg
BusSpecificDriverOverride,gEfiBusSpecificDriverOverrideProtocolGuid,gEfiBusSpecificDriverOverrideProtocolGuid,3BC1B285-8A15-4A82-AABF-4D7D13FB3265,MdePkg
ComponentName,gEfiComponentNameProtocolGuid,gEfiComponentNameProtocolGuid,107A772C-D5E1-11D4-9A46-0090273FC14D,MdePkg
DebugPort,gEfiDebugPortProtocolGuid,gEfiDebugPortProtocolGuid,EBA4E8D2-3858-41EC-A281-2647BA9660D0,MdePkg
DebugSupport,gEfiDebugSupportProtocolGuid,gEfiDebugSupportProtocolGuid,2755590C-6F3C-42FA-9EA4-A3BA543CDA25,MdePkg
Decompress,gEfiDecompressProtocolGuid,gEfiDecompressProtocolGuid,D8117CFE-94A6-11D4-9A3A-0090273FC14D,MdePkg
DevicePath,gEfiDevicePathProtocolGuid,gEfiDevicePathProtocolGuid,09576E91-6D3F-11D2-8E39-00A0C969723B,MdePkg
DiskIo,gEfiDiskIoProtocolGuid,gEfiDiskIoProtocolGuid,CE345171-BA0B-11D2-8E4F-00A0C969723B,MdePkg
DriverBinding,gEfiDriverBindingProtocolGuid,gEfiDriverBindingProtocolGuid,18A031AB-B443-4D1A-A5C0-0C09261E9F71,MdePkg
DriverConfiguration,gEfiDriverConfigurationProtocolGuid,gEfiDriverConfigurationProtocolGuid,107A772B-D5E1-11D4-9A46-0090273FC14D,MdePkg
UefiDriverConfiguration,gUefiDriverConfigurationProtocolGuid,gUefiDriverConfigurationProtocolGuid,BFD7DC1D-24F1-40D9-82E7-2E09BB6B4EBE,MdePkg
DriverDiagnostics,gEfiDriverDiagnosticsProtocolGuid,gEfiDriverDiagnosticsProtocolGuid,0784924F-E296-11D4-9A49-0090273FC14D,MdePkg
UefiDriverDiagnostics,gUefiDriverDiagnosticsProtocolGuid,gUefiDriverDiagnosticsProtocolGuid,4D330321-025F-4AAC-90D8-5ED900173B63,MdePkg
Ebc,gEfiEbcProtocolGuid,gEfiEbcProtocolGuid,13AC6DD1-73D0-11D4-B06B-00AA00BD6DE7,MdePkg
NetworkInterfaceIdentifier,gEfiNetworkInterfaceIdentifierProtocolGuid,gEfiNetworkInterfaceIdentifierProtocolGuid,E18541CD-F755-4F73-928D-643C8A79B229,MdePkg
NetworkInterfaceIdentifier31,gEfiNetworkInterfaceIdentifierProtocolGuid_31,gEfiNetworkInterfaceIdentifierProtocolGuid_31,1ACED566-76ED-4218-BC81-767F1F977A89,MdePkg
NetworkInterfaceIdentifier2,gEfiNetworkInterfaceIdentifierProtocolGuid_31,gEfiNetworkInterfaceIdentifierProtocolGuid_31,1ACED566-76ED-4218-BC81-767F1F977A89,MdePkg
LoadedImage,gEfiLoadedImageProtocolGuid,gEfiLoadedImageProtocolGuid,5B1B31A1-9562-11D2-8E3F-00A0C969723B,MdePkg
LoadFile,gEfiLoadFileProtocolGuid,gEfiLoadFileProtocolGuid,56EC3091-954C-11D2-8E3F-00A0C969723B,MdePkg
PciIo,gEfiPciIoProtocolGuid,gEfiPciIoProtocolGuid,4CF5B200-68B8-4CA5-9EEC-B23E3F50029A,MdePkg
PciRootBridgeIo,gEfiPciRootBridgeIoProtocolGuid,gEfiPciRootBridgeIoProtocolGuid,2F707EBB-4A1A-11D4-9A38-0090273FC14D,MdePkg
PlatformDriverOverride,gEfiPlatformDriverOverrideProtocolGuid,gEfiPlatformDriverOverrideProtocolGuid,6B30C738-A391-11D4-9A3B-0090273FC14D,MdePkg
PxeBaseCode,gEfiPxeBaseCodeProtocolGuid,gEfiPxeBaseCodeProtocolGuid,03C4E603-AC28-11D3-9A2D-0090273FC14D,MdePkg
PxeBaseCodeCallBack,gEfiPxeBaseCodeCallbackProtocolGuid,gEfiPxeBaseCodeCallbackProtocolGuid,245DCA21-FB7B-11D3-8F01-00A0C969723B,MdePkg
ScsiPassThru,gEfiScsiPassThruProtocolGuid,gEfiScsiPassThruProtocolGuid,A59E8FCF-BDA0-43BB-90B1-D3732ECAA877,MdePkg
SerialIo,gEfiSerialIoProtocolGuid,gEfiSerialIoProtocolGuid,BB25CF6F-F1D4-11D2-9A0C-0090273FC1FD,MdePkg
SimpleFileSystem,gEfiSimpleFileSystemProtocolGuid,gEfiSimpleFileSystemProtocolGuid,964E5B22-6459-11D2-8E39-00A0C969723B,MdePkg
SimpleNetwork,gEfiSimpleNetworkProtocolGuid,gEfiSimpleNetworkProtocolGuid,A19832B9-AC25-11D3-9A2D-0090273FC14D,MdePkg
SimplePointer,gEfiSimplePointerProtocolGuid,gEfiSimplePointerProtocolGuid,31878C87-0B75-11D5-9A4F-0090273FC14D,MdePkg
SimpleTextIn,gEfiSimpleTextInProtocolGuid,gEfiSimpleTextInProtocolGuid,387477C1-69C7-11D2-8E39-00A0C969723B,MdePkg
SimpleTextInputEx,gEfiSimpleTextInputExProtocolGuid,gEfiSimpleTextInputExProtocolGuid,dd9e7534-7762-4698-8c14-f58517a625aa,MdePkg
SimpleTextOut,gEfiSimpleTextOutProtocolGuid,gEfiSimpleTextOutProtocolGuid,387477C2-69C7-11D2-8E39-00A0C969723B,MdePkg
UgaDraw,gEfiUgaDrawProtocolGuid,gEfiUgaDrawProtocolGuid,982C298B-F4FA-41CB-B838-77AA688FB839,MdePkg
UnicodeCollation,gEfiUnicodeCollationProtocolGuid,gEfiUnicodeCollationProtocolGuid,1D85CD7F-F43D-11D2-9A0C-0090273FC14D,MdePkg
UsbHc,gEfiUsbHcProtocolGuid,gEfiUsbHcProtocolGuid,F5089266-1AA0-4953-97D8-562F8A73B519,MdePkg
PciPlatform,gEfiPciPlatformProtocolGuid,gEfiPciPlatformProtocolGuid,07D75280-27D4-4D69-90D0-5643E238B341,MdePkg
IncompatiblePciDeviceSupport,gEfiIncompatiblePciDeviceSupportProtocolGuid,gEfiIncompatiblePciDeviceSupportProtocolGuid,EB23F55A-7863-4AC2-8D3D-956535DE0375,MdePkg
PciHotPlugInit,gEfiPciHotPlugInitProtocolGuid,gEfiPciHotPlugInitProtocolGuid,AA0E8BC1-DABC-46B0-A844-37B8169B2BEA,MdePkg
PciHostBridgeResourceAllocation,gEfiPciHostBridgeResourceAllocationProtocolGuid,gEfiPciHostBridgeResourceAllocationProtocolGuid,CF8034BE-6768-4D8B-B739-7CCE683A9FBE,MdePkg
IdeControllerInit,gEfiIdeControllerInitProtocolGuid,gEfiIdeControllerInitProtocolGuid,A1E37052-80D9-4E65-A317-3E9A55C43EC9,MdePkg
UsbIo,gEfiUsbIoProtocolGuid,gEfiUsbIoProtocolGuid,2B2F68D6-0CD2-44CF-8E8B-BBA20B1B5B75,MdePkg
Arp,gEfiArpProtocolGuid,gEfiArpProtocolGuid,F4B427BB-BA21-4F16-BC4E-43E416AB619C,MdePkg
ArpServiceBinding,gEfiArpServiceBindingProtocolGuid,gEfiArpServiceBindingProtocolGuid,F44C00EE-1F2C-4A00-AA09-1C9F3E0800A3,MdePkg
Dhcp4,gEfiDhcp4ProtocolGuid,gEfiDhcp4ProtocolGuid,8A219718-4EF5-4761-91C8-C0F04BDA9E56,MdePkg
Dhcp4ServiceBinding,gEfiDhcp4ServiceBindingProtocolGuid,gEfiDhcp4ServiceBindingProtocolGuid,9D9A39D8-BD42-4A73-A4D5-8EE94BE11380,MdePkg
Ip4,gEfiIp4ProtocolGuid,gEfiIp4ProtocolGuid,41D94CD2-35B6-455A-8258-D4E51334AADD,MdePkg
Ip4ServiceBinding,gEfiIp4ServiceBindingProtocolGuid,gEfiIp4ServiceBindingProtocolGuid,C51711E7-B4BF-404A-BFB8-0A048EF1FFE4,MdePkg
Ip4Config,gEfiIp4ConfigProtocolGuid,gEfiIp4ConfigProtocolGuid,3B95AA31-3793-434B-8667-C8070892E05E,MdePkg
ManagedNetwork,gEfiManagedNetworkProtocolGuid,gEfiManagedNetworkProtocolGuid,3B95AA31-3793-434B-8667-C8070892E05E,MdePkg
ManagedNetworkServiceBinding,gEfiManagedNetworkServiceBindingProtocolGuid,gEfiManagedNetworkServiceBindingProtocolGuid,F36FF770-A7E1-42CF-9ED2-56F0F271F44C,MdePkg
Mtftp4,gEfiMtftp4ProtocolGuid,gEfiMtftp4ProtocolGuid,3AD9DF29-4501-478D-B1F8-7F7FE70E50F3,MdePkg
Mtftp4ServiceBinding,gEfiMtftp4ServiceBindingProtocolGuid,gEfiMtftp4ServiceBindingProtocolGuid,2FE800BE-8F01-4AA6-946B-D71388E1833F,MdePkg
Tcp4,gEfiTcp4ProtocolGuid,gEfiTcp4ProtocolGuid,65530BC7-A359-410F-B010-5AADC7EC2B62,MdePkg
Tcp4ServiceBinding,gEfiTcp4ServiceBindingProtocolGuid,gEfiTcp4ServiceBindingProtocolGuid,00720665-67EB-4A99-BAF7-D3C33A1C7CC9,MdePkg
Udp4,gEfiUdp4ProtocolGuid,gEfiUdp4ProtocolGuid,3AD9DF29-4501-478D-B1F8-7F7FE70E50F3,MdePkg
Udp4ServiceBinding,gEfiUdp4ServiceBindingProtocolGuid,gEfiUdp4ServiceBindingProtocolGuid,83F01464-99BD-45E5-B383-AF6305D8E9E6,MdePkg
AuthenticationInfo,gEfiAuthenticationInfoProtocolGuid,gEfiAuthenticationInfoProtocolGuid,7671D9D0-53DB-4173-AA69-2327F21F0BC7,MdePkg
DevicePathFromText,gEfiDevicePathFromTextProtocolGuid,gEfiDevicePathFromTextProtocolGuid,05C99A21-C70F-4AD2-8A5F-35DF3343F51E,MdePkg
DevicePathToText,gEfiDevicePathToTextProtocolGuid,gEfiDevicePathToTextProtocolGuid,8B843E20-8132-4852-90CC-551A4E4A7F1C,MdePkg
DevicePathUtilities,gEfiDevicePathUtilitiesProtocolGuid,gEfiDevicePathUtilitiesProtocolGuid,0379BE4E-D706-437D-B037-EDB82FB772A4,MdePkg
EdidActive,gEfiEdidActiveProtocolGuid,gEfiEdidActiveProtocolGuid,BD8C1056-9F36-44EC-92A8-A6337F817986,MdePkg
EdidDiscovered,gEfiEdidDiscoveredProtocolGuid,gEfiEdidDiscoveredProtocolGuid,1C0C34F6-D380-41FA-A049-8AD06C1A66AA,MdePkg
EdidOverride,gEfiEdidOverrideProtocolGuid,gEfiEdidOverrideProtocolGuid,48ECB431-FB72-45C0-A922-F458FE040BD5,MdePkg
GraphicsOutput,gEfiGraphicsOutputProtocolGuid,gEfiGraphicsOutputProtocolGuid,9042A9DE-23DC-4A38-96FB-7ADED080516A,MdePkg
Hash,gEfiHashProtocolGuid,gEfiHashProtocolGuid,C5184932-DBA5-46DB-A5BA-CC0BDA9C1435,MdePkg
HashServiceBinding,gEfiHashServiceBindingProtocolGuid,gEfiHashServiceBindingProtocolGuid,42881C98-A4F3-44B0-A39D-DFA18667D8CD,MdePkg
IScsiInitiatorName,gEfiIScsiInitiatorNameProtocolGuid,gEfiIScsiInitiatorNameProtocolGuid,A6A72875-2962-4C18-9F46-8DA644CCFE00,MdePkg
ScsiIoExt,gEfiScsiIoProtocolGuid,gEfiScsiIoProtocolGuid,932F4736-2362-4002-803E-3CD54B138F85,MdePkg
ExtScsiPassThru,gEfiExtScsiPassThruProtocolGuid,gEfiExtScsiPassThruProtocolGuid,1D3DE7F0-0807-424F-AA69-11A54E19A46F,MdePkg
TapeIo,gEfiTapeIoProtocolGuid,gEfiTapeIoProtocolGuid,1E93E633-D65A-459E-AB84-93D9EC266D18,MdePkg
Usb2Hc,gEfiUsb2HcProtocolGuid,gEfiUsb2HcProtocolGuid,3E745226-9818-45B6-A2AC-D7CD0E8BA2BC,MdePkg
SecurityPolicy,gEfiSecurityPolicyProtocolGuid,gEfiSecurityPolicyProtocolGuid,78E4D245-CD4D-4A05-A2BA-4743E86CFCAB,MdePkg
AcpiSupport,gEfiAcpiSupportProtocolGuid,gEfiAcpiSupportProtocolGuid,DBFF9D55-89B7-46DA-BDDF-677D3DC0241D,MdePkg
BootScriptSave,gEfiBootScriptSaveProtocolGuid,gEfiBootScriptSaveProtocolGuid,470E1529-B79E-4E32-A0FE-6A156D29F9B2,MdePkg
Smbus,gEfiSmbusProtocolGuid,gEfiSmbusProtocolGuid,E49D33ED-513D-4634-B698-6F55AA751C1B,MdePkg
LegacyBios,gEfiLegacyBiosProtocolGuid,gEfiLegacyBiosProtocolGuid,DB9A1E3D-45CB-4ABB-853B-E5387FDB2E2D,MdePkg
Legacy8259,gEfiLegacy8259ProtocolGuid,gEfiLegacy8259ProtocolGuid,38321DBA-4FE0-4E17-8AEC-413055EAEDC1,MdePkg
LegacyBiosPlatform,gEfiLegacyBiosPlatformProtocolGuid,gEfiLegacyBiosPlatformProtocolGuid,783658A3-4172-4421-A299-E009079C0CB4,MdePkg
LegacyInterrupt,gEfiLegacyInterruptProtocolGuid,gEfiLegacyInterruptProtocolGuid,31CE593D-108A-485D-ADB2-78F21F2966BE,MdePkg
LegacyRegion,gEfiLegacyRegionProtocolGuid,gEfiLegacyRegionProtocolGuid,0FC9013A-0568-4BA9-9B7E-C9C390A6609B,MdePkg
SmmAccess,gEfiSmmAccessProtocolGuid,gEfiSmmAccessProtocolGuid,3792095A-E309-4C1E-AA01-85F5655A17F1,MdePkg
SmmBase,gEfiSmmBaseProtocolGuid,gEfiSmmBaseProtocolGuid,1390954D-DA95-4227-9328-7282C217DAA8,MdePkg
SmmControl,gEfiSmmControlProtocolGuid,gEfiSmmControlProtocolGuid,8D12E231-C667-4FD1-98F2-2449A7E7B2E5,MdePkg
SmmGpiDispatch,gEfiSmmGpiDispatchProtocolGuid,gEfiSmmGpiDispatchProtocolGuid,E0744B81-9513-49CD-8CEA-E9245E7039DA,MdePkg
SmmIchnDispatch,gEfiSmmIchnDispatchProtocolGuid,gEfiSmmIchnDispatchProtocolGuid,C50B323E-9075-4F2A-AC8E-D2596A1085CC,MdePkg
SmmPeriodicTimerDispatch,gEfiSmmPeriodicTimerDispatchProtocolGuid,gEfiSmmPeriodicTimerDispatchProtocolGuid,9CCA03FC-4C9E-4A19-9B06-ED7B479BDE55,MdePkg
SmmPowerButtonDispatch,gEfiSmmPowerButtonDispatchProtocolGuid,gEfiSmmPowerButtonDispatchProtocolGuid,B709EFA0-47A6-4B41-B931-12ECE7A8EE56,MdePkg
SmmStandbyButtonDispatch,gEfiSmmStandbyButtonDispatchProtocolGuid,gEfiSmmStandbyButtonDispatchProtocolGuid,78965B98-B0BF-449E-8B22-D2914E498A98,MdePkg
SmmStatusCode,gEfiSmmStatusCodeProtocolGuid,gEfiSmmStatusCodeProtocolGuid,6AFD2B77-98C1-4ACD-A6F9-8A9439DE0FB1,MdePkg
SmmSwDispatch,gEfiSmmSwDispatchProtocolGuid,gEfiSmmSwDispatchProtocolGuid,E541B773-DD11-420C-B026-DF993653F8BF,MdePkg
SmmSxDispatch,gEfiSmmSxDispatchProtocolGuid,gEfiSmmSxDispatchProtocolGuid,14FC52BE-01DC-426C-91AE-A23C3E220AE8,MdePkg
SmmUsbDispatch,gEfiSmmUsbDispatchProtocolGuid,gEfiSmmUsbDispatchProtocolGuid,A05B6FFD-87AF-4E42-95C9-6228B63CF3F3,MdePkg
DeviceIo,gEfiDeviceIoProtocolGuid,gEfiDeviceIoProtocolGuid,AF6AC311-84C3-11D2-8E3C-00A0C969723B,MdePkg
Capsule,gEfiCapsuleArchProtocolGuid,gEfiCapsuleArchProtocolGuid,5053697E-2EBC-4819-90D9-0580DEEE5754,MdePkg
CustomizedDecompress,gEfiCustomizedDecompressProtocolGuid,gEfiCustomizedDecompressProtocolGuid,9A44198E-A4A2-44E6-8A1F-39BEFDAC896F,MdeModulePkg
TianoDecompress,gEfiTianoDecompressProtocolGuid,gEfiTianoDecompressProtocolGuid,E84CF29C-191F-4EAE-96E1-F46AECEAEA0B,MdeModulePkg
LoadPeImage,gEfiLoadPeImageProtocolGuid,gEfiLoadPeImageProtocolGuid,5CB5C776-60D5-45EE-883C-452708CD743F,MdeModulePkg
Print,gEfiPrintProtocolGuid,gEfiPrintProtocolGuid,DF2D868E-32FC-4CF0-8E6B-FFD95D1343D0,EdkModulePkg
GenericMemTest,gEfiGenericMemTestProtocolGuid,gEfiGenericMemTestProtocolGuid,309DE7F1-7F5E-4ACE-B49C-531BE5AA95EF,EdkModulePkg
DiskInfo,gEfiDiskInfoProtocolGuid,gEfiDiskInfoProtocolGuid,D432A67F-14DC-484B-B3BB-3F0291849327,EdkModulePkg
FvbExtension,gEfiFvbExtensionProtocolGuid,gEfiFvbExtensionProtocolGuid,53A4C71B-B581-4170-91B3-8DB87A4B5C46,EdkModulePkg
FaultTolerantWriteLite,gEfiFaultTolerantWriteLiteProtocolGuid,gEfiFaultTolerantWriteLiteProtocolGuid,3F557189-8DAE-45AE-A0B3-2B99CA7AA7A0,EdkModulePkg
ConsoleControl,gEfiConsoleControlProtocolGuid,gEfiConsoleControlProtocolGuid,F42F7782-012E-4C12-9956-49F94304F721,EdkModulePkg
OEMBadging,gEfiOEMBadgingProtocolGuid,gEfiOEMBadgingProtocolGuid,170E13C0-BF1B-4218-871D-2ABDC6F887BC,EdkModulePkg
UgaSplash,gEfiUgaSplashProtocolGuid,gEfiUgaSplashProtocolGuid,A45B3A0D-2E55-4C03-AD9C-27D4820B507E,EdkModulePkg
AcpiS3Save,gEfiAcpiS3SaveGuid,gEfiAcpiS3SaveProtocolGuid,125F2DE1-FB85-440C-A54C-4D99358A8D38,IntelFrameworkPkg
PxeDhcp4,gEfiPxeDhcp4ProtocolGuid,gEfiPxeDhcp4ProtocolGuid,03C4E624-AC28-11D3-9A2D-0090293FC14D,EdkModulePkg
PxeDhcp4Callback,gEfiPxeDhcp4CallbackProtocolGuid,gEfiPxeDhcp4CallbackProtocolGuid,C1544C01-92A4-4198-8A84-778583C23621,EdkModulePkg
UgaIo,gEfiUgaIoProtocolGuid,gEfiUgaIoProtocolGuid,61A4D49E-6F68-4F1B-B922-A86EED0B07A2,EdkModulePkg
DebugAssert,gEfiDebugAssertProtocolGuid,gEfiDebugAssertProtocolGuid,BE499C92-7D4B-11D4-BCEE-0080C73C8881,EdkModulePkg
UsbAtapi,gEfiUsbAtapiProtocolGuid,gEfiUsbAtapiProtocolGuid,2B2F68DA-0CD2-44CF-8E8B-BBA20B1B5B75,EdkModulePkg
PciHotPlugRequest,gEfiPciHotPlugRequestProtocolGuid,gEfiPciHotPlugRequestProtocolGuid,19CB87AB-2CB9-4665-8360-DDCF6054F79D,EdkModulePkg
ExtendedSalBootService,gEfiExtendedSalBootServiceProtocolGuid,gEfiExtendedSalBootServiceProtocolGuid,DE0EE9A4-3C7A-44F2-B78B-E3CCD69C3AF7,EdkModulePkg
ExtendedSalVariableServices,gEfiExtendedSalVariableServicesProtocolGuid,gEfiExtendedSalVariableServicesProtocolGuid,4ECB6C53-C641-4370-8CB2-3B0E496E8378,EdkModulePkg
ExtendedSalStatusCodeServices,gEfiExtendedSalStatusCodeServicesProtocolGuid,gEfiExtendedSalStatusCodeServicesProtocolGuid,00DBD91D-55E9-420F-9639-5E9F8437B44F,EdkModulePkg
IsaIo,gEfiIsaIoProtocolGuid,gEfiIsaIoProtocolGuid,7EE2BD44-3DA0-11D4-9A38-0090273FC14D,EdkModulePkg
IsaAcpi,gEfiIsaAcpiProtocolGuid,gEfiIsaAcpiProtocolGuid,64A892DC-5561-4536-92C7-799BFC183355,EdkModulePkg
Performance,gPerformanceProtocolGuid,gPerformanceProtocolGuid,76B6BDFA-2ACD-4462-9E3F-CB58C969D937,EdkModulePkg
ScsiIo,gEfiScsiIoProtocolGuid,gEfiScsiIoProtocolGuid,403CD195-F233-48EC-8455-B2E52F1D9E02,EdkModulePkg
ApciSupport,gEfiAcpiSupportGuid,gEfiAcpiSupportProtocolGuid,DBFF9D55-89B7-46DA-BDDF-677D3DC0241D,MdePkg
