R8.5LibClass,R8.5Lib,R9Lib,R9LibClass,Package
EfiCommonLib,EfiCompareMem,CompareMem,BaseMemoryLib,MdePkg
EfiCommonLib,EfiConstructStatusCodeData,n/a,n/a,MdePkg
EfiCommonLib,EfiDebugAssertWorker,n/a,n/a,MdePkg
EfiCommonLib,EfiDebugVPrintWorker,n/a,n/a,MdePkg
EfiCommonLib,EfiInitializeCommonDriverLib,n/a,n/a,MdePkg
EfiCommonLib,EfiLibGetSystemConfigurationTable,EfiGetSystemConfigurationTable,UefiLib,MdePkg
EfiCommonLib,EfiAsciiStrSize,AsciiStrSize,BaseLib,MdePkg
EfiCommonLib,EfiStrCat,StrCat,BaseLib,MdePkg
EfiCommonLib,EfiStrCmp,StrCmp,BaseLib,MdePkg
EfiCommonLib,EfiStrCpy,StrCpy,BaseLib,MdePkg
EfiCommonLib,EfiStrLen,StrLen,BaseLib,MdePkg
EfiCommonLib,EfiStrnCmp,StrnCmp,BaseLib,MdePkg
EfiCommonLib,EfiStrSize,StrSize,BaseLib,MdePkg
EfiCommonLib,EfiStrStr,StrStr,BaseLib,MdePkg
EfiCommonLib,EfiStrTrim,R8_EfiStrTrim,%,MdePkg
EfiCommonLib,EfiValueToHexStr,R8_EfiValueToHexStr,%,MdePkg
EfiCommonLib,EFI_ALIGN,ALIGN_POINTER,BaseLib,MdePkg
EfiCommonLib,GetPowerOfTwo,GetPowerOfTwo64,BaseLib,MdePkg
EfiCommonLib,HexStringToBuf,R8_HexStringToBuf,%,MdePkg
EfiCommonLib,IsHexDigit,R8_IsHexDigit,%,MdePkg
EfiCommonLib,LEFT_JUSTIFY,n/a,n/a,MdePkg
EfiCommonLib,Log2,(UINT8)HighBitSet64,BaseLib,MdePkg
EfiCommonLib,LONG_TYPE,n/a,n/a,MdePkg
EfiCommonLib,LShiftU64,LShiftU64,BaseLib,MdePkg
EfiCommonLib,MultU64x32,MultU64x32,BaseLib,MdePkg
EfiCommonLib,NibbleToHexChar,R8_NibbleToHexChar,%,MdePkg
EfiCommonLib,Power10U64,n/a,n/a,MdePkg
EfiCommonLib,PREFIX_BLANK,n/a,n/a,MdePkg
EfiCommonLib,PREFIX_SIGN,n/a,n/a,MdePkg
EfiCommonLib,PREFIX_ZERO,PREFIX_ZERO,PrintLib,MdePkg
EfiCommonLib,ReportStatusCodeExtractAssertInfo,ReportStatusCodeExtractAssertInfo,ReportStatusCodeLib,MdePkg
EfiCommonLib,ReportStatusCodeExtractDebugInfo,ReportStatusCodeExtractDebugInfo,ReportStatusCodeLib,MdePkg
EfiCommonLib,RShiftU64,RShiftU64,BaseLib,MdePkg
EfiCommonLib,ASSERT,ASSERT,DebugLib,MdePkg
EfiCommonLib,ASSERT_EFI_ERROR,ASSERT_EFI_ERROR,DebugLib,MdePkg
EfiCommonLib,ASSERT_LOCKED,ASSERT_LOCKED,DebugLib,MdePkg
EfiCommonLib,ASSERT_PROTOCOL_ALREADY_INSTALLED,ASSERT_PROTOCOL_ALREADY_INSTALLED,DebugLib,MdePkg
EfiCommonLib,CR,CR,DebugLib,MdePkg
EfiCommonLib,DEBUG,DEBUG,DebugLib,MdePkg
EfiCommonLib,DEBUG_CODE,DEBUG_CODE,DebugLib,MdePkg
EfiCommonLib,DEBUG_SET_MEMORY,DEBUG_CLEAR_MEMORY,DebugLib,MdePkg
EfiCommonLib,EfiDebugAssert,DebugAssert,DebugLib,MdePkg
EfiCommonLib,EfiDebugPrint,DebugPrint,DebugLib,MdePkg
EfiCommonLib,EfiDebugVPrint,DebugVPrint,DebugLib,MdePkg
EfiCommonLib,EFI_D_INIT,DEBUG_INIT,DebugLib,MdePkg
EfiCommonLib,EFI_D_WARN,DEBUG_WARN,DebugLib,MdePkg
EfiCommonLib,EFI_D_LOAD,DEBUG_LOAD,DebugLib,MdePkg
EfiCommonLib,EFI_D_FS,DEBUG_FS,DebugLib,MdePkg
EfiCommonLib,EFI_D_POOL,DEBUG_POOL,DebugLib,MdePkg
EfiCommonLib,EFI_D_PAGE,DEBUG_PAGE,DebugLib,MdePkg
EfiCommonLib,EFI_D_INFO,DEBUG_INFO,DebugLib,MdePkg
EfiCommonLib,EFI_D_VARIABLE,DEBUG_VARIABLE,DebugLib,MdePkg
EfiCommonLib,EFI_D_BM,DEBUG_BM,DebugLib,MdePkg
EfiCommonLib,EFI_D_BLKIO,DEBUG_BLKIO,DebugLib,MdePkg
EfiCommonLib,EFI_D_NET,DEBUG_NET,DebugLib,MdePkg
EfiCommonLib,EFI_D_UNDI,DEBUG_UNDI,DebugLib,MdePkg
EfiCommonLib,EFI_D_LOADFILE,DEBUG_LOADFILE,DebugLib,MdePkg
EfiCommonLib,EFI_D_EVENT,DEBUG_EVENT,DebugLib,MdePkg
EfiCommonLib,EFI_D_ERROR,DEBUG_ERROR,DebugLib,MdePkg
EfiCommonLib,EFI_D_GENERIC,(DEBUG_ERROR | DEBUG_INIT | DEBUG_WARN | DEBUG_INFO | DEBUG_BLKIO | DEBUG_NET | DEBUG_UNDI),DebugLib,MdePkg
EfiCommonLib,EFI_D_INTRINSIC,(DEBUG_EVENT | DEBUG_POOL | DEBUG_PAGE | DEBUG_LOAD | DEBUG_BM | DEBUG_VARIABLE),DebugLib,MdePkg
EfiCommonLib,EFI_D_RESERVED,((DEBUG_ERROR | DEBUG_INIT | DEBUG_WARN | DEBUG_INFO | DEBUG_BLKIO | DEBUG_NET | DEBUG_UNDI) | (DEBUG_EVENT | DEBUG_POOL | DEBUG_PAGE | DEBUG_LOAD | DEBUG_BM | DEBUG_VARIABLE)),DebugLib,MdePkg
EfiCommonLib,EFI_DBUG_MASK,DEBUG_ERROR,DebugLib,MdePkg
EfiPrintLib,VSPrint,UnicodeVSPrint,PrintLib,MdePkg
EfiPrintLib,SPrint,UnicodeSPrint,PrintLib,MdePkg
PeiLib,ASPrint,AsciiSPrint,PrintLib,MdePkg
PeiLib,AvSPrint,AsciiVSPrint,PrintLib,MdePkg
PeiLib,CompareGuid,CompareGuid,BaseMemoryLib,MdePkg
PeiLib,CopyMem,CopyMem,BaseMemoryLib,MdePkg
PeiLib,DivU64x32,DivU64x32Remainder ,BaseLib,MdePkg
PeiLib,FindFv,n/a,n/a,MdePkg
PeiLib,GetNativeCpuIo,n/a,n/a,MdePkg
PeiLib,GetTimerValue,n/a,n/a,MdePkg
PeiLib,InstallEfiDecompress,n/a,n/a,MdePkg
PeiLib,InstallEfiPeiPeCoffLoader,n/a,n/a,MdePkg
PeiLib,InstallEfiPeiPeCoffLoader64,n/a,n/a,MdePkg
PeiLib,InstallTianoDecompress,n/a,n/a,MdePkg
PeiLib,LShiftU64,LShiftU64,BaseLib,MdePkg
PeiLib,MultU64x32,MultU64x32,BaseLib,MdePkg
PeiLib,PeiBuildHobModule,BuildModuleHob#%,HobLib,MdePkg
PeiLib,PeiBuildHobResourceDescriptor,BuildResourceDescriptorHob#%,HobLib,MdePkg
PeiLib,PeiBuildHobGuid,R8_PeiBuildHobGuid#%,%,MdePkg
PeiLib,PeiBuildHobGuidData,BuildGuidDataHob#%,HobLib,MdePkg
PeiLib,PeiBuildHobFv,BuildFvHob#%,HobLib,MdePkg
PeiLib,PeiBuildHobCpu,BuildCpuHob#%,HobLib,MdePkg
PeiLib,PeiBuildHobStack,BuildStackHob#%,HobLib,MdePkg
PeiLib,PeiBuildHobBspStore,BuildBspStoreHob#%,HobLib,MdePkg
PeiLib,PeiBuildHobMemoryAllocation,BuildMemoryAllocationHob#%,HobLib,MdePkg
PeiLib,PeiCopyMem,CopyMem,BaseMemoryLib,MdePkg
PeiLib,PeiPerfMeasure,n/a,n/a,MdePkg
PeiLib,PEI_PERF_END,n/a,n/a,MdePkg
PeiLib,PEI_PERF_START,n/a,n/a,MdePkg
PeiLib,RegisterNativeCpuIo,n/a,n/a,MdePkg
PeiLib,RShiftU64,RShiftU64,BaseLib,MdePkg
PeiLib,ZeroMem,ZeroMem,BaseMemoryLib,MdePkg
PeiLib,PeiDebugAssert,DebugAssert#%,DebugLib,MdePkg
PeiLib,PeiDebugPrint,DebugPrint#%,DebugLib,MdePkg
PeiLib,ASSERT_PEI_ERROR,ASSERT_EFI_ERROR#%,DebugLib,MdePkg
PeiLib,PEI_ASSERT,ASSERT#%,DebugLib,MdePkg
PeiLib,PEI_ASSERT_LOCKED,ASSERT_LOCKED#%,UefiLib,MdePkg
PeiLib,PEI_CR,CR,DebugLib,MdePkg
PeiLib,PEI_DEBUG,DEBUG#%%,DebugLib,MdePkg
PeiLib,PEI_DEBUG_CODE,DEBUG_CODE#%%,DebugLib,MdePkg
PeiLib,PEI_DEBUG_SET_MEMORY,DEBUG_CLEAR_MEMORY,DebugLib,MdePkg
