R8.5 Name,R9 Name,Package
PEI_CPU_IO_PPI_MEM_WRITE16,EFI_PEI_CPU_IO_PPI_MEM_WRITE16,MdePkg
PEI_CPU_IO_PPI_MEM_WRITE32,EFI_PEI_CPU_IO_PPI_MEM_WRITE32,MdePkg
PEI_CPU_IO_PPI_MEM_WRITE64,EFI_PEI_CPU_IO_PPI_MEM_WRITE64,MdePkg
PEI_END_OF_PEI_PHASE_PPI_GUID,EFI_PEI_END_OF_PEI_PHASE_PPI_GUID,MdePkg
PEI_MASTER_BOOT_MODE_PEIM_PPI,EFI_PEI_MASTER_BOOT_MODE_PEIM_PPI,MdePkg
PEI_PERMANENT_MEMORY_INSTALLED_PPI_GUID,EFI_PEI_PERMANENT_MEMORY_INSTALLED_PPI_GUID,MdePkg
PEI_PCI_CFG_PPI,EFI_PEI_PCI_CFG_PPI,MdePkg
PEI_PCI_CFG_PPI_WIDTH,EFI_PEI_PCI_CFG_PPI_WIDTH,MdePkg
PEI_PCI_CFG_PPI_PCI_ADDRESS,EFI_PEI_PCI_CFG_PPI_PCI_ADDRESS,MdePkg
PEI_PCI_CFG_PPI_IO,EFI_PEI_PCI_CFG_PPI_IO,MdePkg
PEI_PCI_CFG_PPI_RW,EFI_PEI_PCI_CFG_PPI_RW,MdePkg
PEI_READ_ONLY_VARIABLE_ACCESS_PPI_GUID,EFI_PEI_READ_ONLY_VARIABLE_ACCESS_PPI_GUID,MdePkg
PEI_READ_ONLY_VARIABLE_PPI,EFI_PEI_READ_ONLY_VARIABLE_PPI,MdePkg
PEI_GET_VARIABLE,EFI_PEI_GET_VARIABLE,MdePkg
PEI_GET_NEXT_VARIABLE_NAME,EFI_PEI_GET_NEXT_VARIABLE_NAME,MdePkg
PEI_RECOVERY_MODULE_INTERFACE_PPI,EFI_PEI_RECOVERY_MODULE_PPI_GUID,MdePkg
PEI_RECOVERY_MODULE_INTERFACE,EFI_PEI_RECOVERY_MODULE_PPI,MdePkg
PEI_LOAD_RECOVERY_CAPSULE,EFI_PEI_LOAD_RECOVERY_CAPSULE,MdePkg
PEI_RESET_PPI_GUID,EFI_PEI_RESET_PPI_GUID,MdePkg
PEI_RESET_PPI,EFI_PEI_RESET_PPI,MdePkg
PEI_S3_RESUME_PPI_GUID,EFI_PEI_S3_RESUME_PPI_GUID,MdePkg
PEI_S3_RESUME_PPI,EFI_PEI_S3_RESUME_PPI,MdePkg
PEI_S3_RESUME_PPI_RESTORE_CONFIG,EFI_PEI_S3_RESUME_PPI_RESTORE_CONFIG,MdePkg
SEC_PLATFORM_INFORMATION_RECORD,EFI_SEC_PLATFORM_INFORMATION_RECORD,MdePkg
SEC_PLATFORM_INFORMATION,EFI_SEC_PLATFORM_INFORMATION,MdePkg
PEI_SECURITY_PPI_GUID,EFI_PEI_SECURITY_PPI_GUID,MdePkg
PEI_SECURITY_PPI,EFI_PEI_SECURITY_PPI,MdePkg
PEI_SECURITY_AUTHENTICATION_STATE,EFI_PEI_SECURITY_AUTHENTICATION_STATE,MdePkg
PEI_STALL_PPI_GUID,EFI_PEI_STALL_PPI_GUID,MdePkg
PEI_STALL_PPI,EFI_PEI_STALL_PPI,MdePkg
PEI_STALL,EFI_PEI_STALL,MdePkg
GLYPH_NON_SPACING,EFI_GLYPH_NON_SPACING,MdePkg
GLYPH_NON_BREAKING,EFI_GLYPH_WIDE,MdePkg
SCREEN_DESCRIPTOR,EFI_SCREEN_DESCRIPTOR,MdePkg
EFI_IFR_CHECK_BOX,EFI_IFR_CHECKBOX,MdePkg
EFI_IFR_GRAYOUT,EFI_IFR_GRAY_OUT,MdePkg
EFI_IFR_END_IF,EFI_IFR_END_EXPR,MdePkg
EFI_STRING_TOKEN,STRING_REF,MdePkg
EFI_MEMORY_ARRAY_START_ADDRESS,EFI_MEMORY_ARRAY_START_ADDRESS_DATA,MdePkg
EFI_MEMORY_DEVICE_START_ADDRESS,EFI_MEMORY_DEVICE_START_ADDRESS_DATA,MdePkg
EFI_MISC_LAST_PCI_BUS,EFI_MISC_LAST_PCI_BUS_DATA,MdePkg
EFI_MISC_BIOS_VENDOR,EFI_MISC_BIOS_VENDOR_DATA,MdePkg
EFI_MISC_SYSTEM_MANUFACTURER,EFI_MISC_SYSTEM_MANUFACTURER_DATA,MdePkg
EFI_MISC_BASE_BOARD_MANUFACTURER,EFI_MISC_BASE_BOARD_MANUFACTURER_DATA,MdePkg
EFI_MISC_CHASSIS_MANUFACTURER,EFI_MISC_CHASSIS_MANUFACTURER_DATA,MdePkg
EFI_MISC_PORT_INTERNAL_CONNECTOR_DESIGNATOR,EFI_MISC_PORT_INTERNAL_CONNECTOR_DESIGNATOR_DATA,MdePkg
EFI_MISC_SYSTEM_SLOT_DESIGNATION,EFI_MISC_SYSTEM_SLOT_DESIGNATION_DATA,MdePkg
EFI_MISC_ONBOARD_DEVICE,EFI_MISC_ONBOARD_DEVICE_DATA,MdePkg
EFI_MISC_ONBOARD_DEVICE_TYPE_DATA,EFI_MISC_PORTING_DEVICE_TYPE_DATA,MdePkg
EFI_MISC_OEM_STRING,EFI_MISC_OEM_STRING_DATA,MdePkg
EFI_MISC_SYSTEM_OPTION_STRING,EFI_MISC_SYSTEM_OPTION_STRING_DATA,MdePkg
EFI_MISC_NUMBER_OF_INSTALLABLE_LANGUAGES,EFI_MISC_NUMBER_OF_INSTALLABLE_LANGUAGES_DATA,MdePkg
EFI_MISC_SYSTEM_LANGUAGE_STRING,EFI_MISC_SYSTEM_LANGUAGE_STRING_DATA,MdePkg
EFI_MISC_BIS_ENTRY_POINT,EFI_MISC_BIS_ENTRY_POINT_DATA,MdePkg
EFI_MISC_BOOT_INFORMATION_STATUS,EFI_MISC_BOOT_INFORMATION_STATUS_DATA,MdePkg
EFI_MISC_SYSTEM_POWER_SUPPLY,EFI_MISC_SYSTEM_POWER_SUPPLY_DATA,MdePkg
EFI_MISC_SMBIOS_STRUCT_ENCAPSULATION,EFI_MISC_SMBIOS_STRUCT_ENCAPSULATION_DATA,MdePkg
EFI_EXP_DATA,EFI_EXP_BASE10_DATA,MdePkg
PEI_SMBUS_PPI_GUID,EFI_PEI_SMBUS_PPI_GUID,MdePkg
PEI_SMBUS_PPI,EFI_PEI_SMBUS_PPI,MdePkg
PEI_SMBUS_PPI_EXECUTE_OPERATION,EFI_PEI_SMBUS_PPI_EXECUTE_OPERATION,MdePkg
PEI_SMBUS_NOTIFY_FUNCTION,EFI_PEI_SMBUS_NOTIFY_FUNCTION,MdePkg
PEI_SMBUS_PPI_ARP_DEVICE,EFI_PEI_SMBUS_PPI_ARP_DEVICE,MdePkg
PEI_SMBUS_PPI_GET_ARP_MAP,EFI_PEI_SMBUS_PPI_GET_ARP_MAP,MdePkg
PEI_SMBUS_PPI_NOTIFY,EFI_PEI_SMBUS_PPI_NOTIFY,MdePkg
PEI_BOOT_SCRIPT_EXECUTER_PPI_GUID,EFI_PEI_BOOT_SCRIPT_EXECUTER_PPI_GUID,MdePkg
PEI_BOOT_SCRIPT_EXECUTE,EFI_PEI_BOOT_SCRIPT_EXECUTE,MdePkg
PEI_BOOT_SCRIPT_EXECUTER_PPI,EFI_PEI_BOOT_SCRIPT_EXECUTER_PPI,MdePkg
EFI_TO_LEGACY16_INIT_TABLE,EFI_TO_COMPATIBILITY16_INIT_TABLE,MdePkg
DISPATCH_OPROM_TABLE,EFI_DISPATCH_OPROM_TABLE,MdePkg
EFI_STATUS_CODE_ARCH_PROTOCOL,EFI_STATUS_CODE_PROTOCOL,MdePkg
DXE_REPORT_STATUS_CODE,EFI_REPORT_STATUS_CODE,MdePkg
EFI_FIND_FV_PPI_GUID,EFI_PEI_FIND_FV_PPI_GUID,MdePkg
EFI_FIND_FV_FINDFV,EFI_PEI_FIND_FV_FINDFV,MdePkg
EFI_FIND_FV_PPI,EFI_PEI_FIND_FV_PPI,MdePkg
PEI_BLOCK_IO_PPI_GUID,EFI_PEI_VIRTUAL_BLOCK_IO_PPI,MdePkg
PEI_RECOVERY_BLOCK_IO_INTERFACE,EFI_PEI_RECOVERY_BLOCK_IO_PPI,MdePkg
PEI_LBA,EFI_PEI_LBA,MdePkg
PEI_BLOCK_IO_MEDIA,EFI_PEI_BLOCK_IO_MEDIA,MdePkg
PEI_BLOCK_DEVICE_TYPE,EFI_PEI_BLOCK_DEVICE_TYPE,MdePkg
PEI_GET_NUMBER_BLOCK_DEVICES,EFI_PEI_GET_NUMBER_BLOCK_DEVICES,MdePkg
PEI_GET_DEVICE_MEDIA_INFORMATION,EFI_PEI_GET_DEVICE_MEDIA_INFORMATION,MdePkg
PEI_READ_BLOCKS,EFI_PEI_READ_BLOCKS,MdePkg
PEI_DEVICE_RECOVERY_MODULE_INTERFACE_PPI,EFI_PEI_DEVICE_RECOVERY_MODULE_PPI_GUID,MdePkg
PEI_DEVICE_RECOVERY_MODULE_INTERFACE,EFI_PEI_DEVICE_RECOVERY_MODULE_PPI,MdePkg
PEI_DEVICE_GET_NUMBER_RECOVERY_CAPSULE,EFI_PEI_DEVICE_GET_NUMBER_RECOVERY_CAPSULE,MdePkg
PEI_DEVICE_GET_RECOVERY_CAPSULE_INFO,EFI_PEI_DEVICE_GET_RECOVERY_CAPSULE_INFO,MdePkg
PEI_DEVICE_LOAD_RECOVERY_CAPSULE,EFI_PEI_DEVICE_LOAD_RECOVERY_CAPSULE,MdePkg
PeiCpuIoWidthUint8,EfiPeiCpuIoWidthUint8,MdePkg
PeiCpuIoWidthUint16,EfiPeiCpuIoWidthUint16,MdePkg
PeiCpuIoWidthUint32,EfiPeiCpuIoWidthUint32,MdePkg
PeiCpuIoWidthUint64,EfiPeiCpuIoWidthUint64,MdePkg
PeiCpuIoWidthFifoUint8,EfiPeiCpuIoWidthFifoUint8,MdePkg
PeiCpuIoWidthFifoUint16,EfiPeiCpuIoWidthFifoUint16,MdePkg
PeiCpuIoWidthFifoUint32,EfiPeiCpuIoWidthFifoUint32,MdePkg
PeiCpuIoWidthFifoUint64,EfiPeiCpuIoWidthFifoUint64,MdePkg
PeiCpuIoWidthFillUint8,EfiPeiCpuIoWidthFillUint8,MdePkg
PeiCpuIoWidthFillUint16,EfiPeiCpuIoWidthFillUint16,MdePkg
PeiCpuIoWidthFillUint32,EfiPeiCpuIoWidthFillUint32,MdePkg
PeiCpuIoWidthFillUint64,EfiPeiCpuIoWidthFillUint64,MdePkg
PeiCpuIoWidthMaximum,EfiPeiCpuIoWidthMaximum,MdePkg
PeiPciCfgWidthUint8,EfiPeiPciCfgWidthUint8,MdePkg
PeiPciCfgWidthUint16,EfiPeiPciCfgWidthUint16,MdePkg
PeiPciCfgWidthUint32,EfiPeiPciCfgWidthUint32,MdePkg
PeiPciCfgWidthUint64,EfiPeiPciCfgWidthUint64,MdePkg
PeiPciCfgWidthMaximum,EfiPeiPciCfgWidthMaximum,MdePkg
PEI_PCI_CFG_PPI_PCI_ADDRESS,EFI_PEI_PCI_CFG_PPI_PCI_ADDRESS,MdePkg
